name,arity_profile,avg_arity,max_arity,min_arity,n_edges_d,n_nodes_d,n_predicates,n_rules,n_shapes,predicate_profile,rule_profile,t_component,t_graph,t_graph_d,t_parse,t_shapes,t_terminate_graph_d,terminates_graph
\predicate\program-821.res,[1-5],3.011787819,5,1,2532004,20400,509,738950,2836, [400-600], [666666-999999),144.76398,67078.59,12155.502,13597.358,22220.28,34520.547, false
\predicate\program-822.res,[1-5],2.997925311,5,1,2403888,19042,482,708405,2669, [400-600], [666666-999999),139.85045,63452.89,12041.928,13068.565,21473.15,33654.93, false
\predicate\program-823.res,[1-5],2.99787234,5,1,3017868,18976,470,913408,2606, [400-600], [666666-999999),148.4027,95155.3,16852.486,16287.813,20795.674,37796.562, false
\predicate\program-824.res,[1-5],2.989795918,5,1,2265219,19460,490,669552,2706, [400-600], [666666-999999),146.55316,59754.77,11020.094,12107.538,22957.559,34124.203, false
\predicate\program-827.res,[1-5],3.011820331,5,1,2501149,16705,423,751614,2345, [400-600], [666666-999999),146.02672,62191.797,12873.021,13508.54,19031.58,32050.629, false
\predicate\program-828.res,[1-5],2.997979798,5,1,2497301,19745,495,737732,2747, [400-600], [666666-999999),139.09778,54536.906,11872.732,13264.452,20902.236,32914.066, false
\predicate\program-829.res,[1-5],2.995661605,5,1,3004529,18070,461,907242,2528, [400-600], [666666-999999),149.93411,74652.914,16230.583,16382.835,21352.611,37733.13, false
\predicate\program-82.res,[1-10],5.224137931,10,1,1100721,277763,58,267528,1842, [5-200), [0-333333),307.86237,20709.62,430323.53,7373.259,4878.4854,435509.9, false
\predicate\program-830.res,[1-5],3.003984064,5,1,3300500,20115,502,991588,2791, [400-600], [666666-999999),171.3577,97181.01,17837.805,17730.756,22104.107,40113.27, false
\predicate\program-834.res,[1-5],3.02020202,5,1,2974331,20061,495,880338,2776, [400-600], [666666-999999),154.45915,79973.11,15690.897,16051.678,21721.201,37566.56, false
\predicate\program-835.res,[1-5],3.025751073,5,1,3156646,19324,466,954068,2636, [400-600], [666666-999999),157.07355,111486.15,20790.607,17465.59,21034.584,41982.266, false
\predicate\program-840.res,[1-5],3.036876356,5,1,3048779,18868,461,905922,2593, [400-600], [666666-999999),151.15935,75224.71,16750.393,16493.46,20701.045,37602.598, false
\predicate\program-842.res,[1-5],2.982222222,5,1,3223976,17253,450,989985,2448, [400-600], [666666-999999),157.12193,96371.81,20010.518,17788.484,19966.58,40134.22, false
\predicate\program-845.res,[1-5],3.021008403,5,1,2529832,19181,476,743030,2668, [400-600], [666666-999999),146.7299,66460.9,12216.979,13469.514,21002.69,33366.4, false
\predicate\program-84.res,[1-10],5.61,10,1,595590,189058,100,120283,3470, [5-200), [0-333333),224.86565,15227.664,313561.44,3560.2004,8155.651,321941.97, false
\predicate\program-850.res,[1-5],2.988505747,5,1,2740429,17116,435,836313,2392, [400-600], [666666-999999),138.25952,74774.13,15386.525,15210.839,18962.854,34487.64, false
\predicate\program-86.res,[1-10],5.540983607,10,1,43586,19181,61,8433,1964, [5-200), [0-333333),27.232512,271.77176,19281.734,386.36752,5486.363,24795.33, false
\predicate\program-88.res,[1-10],5.483606557,10,1,70959,29709,122,13789,4209, [5-200), [0-333333),41.43897,547.65454,59542.285,550.8937,9388.724,68972.445, false
\predicate\program-89.res,[1-10],5.939393939,10,1,183559,76112,99,33654,3847, [5-200), [0-333333),98.19976,2508.6672,111239.516,1129.1788,8706.566,120044.28, false
\predicate\program-8.res,[1-5],3.074626866,5,1,728175,2773,67,304384,375, [5-200), [0-333333),46.800694,5140.7886,4924.262,5861.48,3989.523,8960.586, false
\predicate\program-91.res,[1-10],5.215686275,10,1,1176426,248122,102,238219,2780, [5-200), [0-333333),303.8088,30991.678,374980.5,6537.5845,7857.534,383141.84, false
\predicate\program-92.res,[1-10],5.111111111,9,1,952721,95056,9,274060,220, [5-200), [0-333333),147.48894,2422.1104,57503.594,7509.2114,1176.441,58827.523, false
\predicate\program-93.res,[1-10],6.051948052,10,1,345913,122311,77,58738,2888, [5-200), [0-333333),149.78284,5881.0586,153579.36,1985.6361,7075.5635,160804.7, false
\predicate\program-94.res,[1-10],5.133333333,10,1,837153,114548,15,211974,399, [5-200), [0-333333),163.4668,3430.8357,357226.94,5631.866,1922.6346,359313.03, false
\predicate\program-96.res,[1-10],5.193548387,10,1,409702,128112,93,93474,3029, [5-200), [0-333333),153.9531,8345.844,238593.81,2624.7876,7632.6,246380.36, false
\predicate\program-98.res,[1-10],5.888888889,10,1,799142,247571,81,152836,3081, [5-200), [0-333333),297.8991,19824.953,432544.3,4809.9937,7485.5723,440327.78, false
\predicate\program-99.res,[1-10],5.777777778,10,1,1177385,268481,18,268282,682, [5-200), [0-333333),307.87476,6007.0054,404289.7,8228.104,1940.0372,406537.6, false
\predicate\program-9.res,[1-5],2.9609375,5,1,28626,3890,128,7799,678, [5-200), [0-333333),9.380284,85.761986,194.01207,286.75204,6157.5,6360.8926, false
\rules\program-100.res,[1-5],3.1,5,1,363590,650,10,377726,66, [5-200), [333333-666666),31.535732,4349.529,5960.075,7073.087,1205.3772,7196.9883, false
\rules\program-101.res,[1-5],3.082840237,5,1,2176169,7255,169,773328,988, [5-200), [666666-999999),126.85522,28962.365,12360.32,13947.06,8017.2686,20504.445, false
\rules\program-102.res,[1-5],2.981132075,5,1,2206170,6204,159,878638,856, [5-200), [666666-999999),104.44716,40206.95,19632.006,15893.197,7748.747,27485.2, false
\rules\program-103.res,[1-5],2.898989899,5,1,1752395,4012,99,930493,522, [5-200), [666666-999999),101.87891,25571.22,19417.18,16537.785,5697.14,25216.2, false
\rules\program-104.res,[1-5],3.187096774,5,1,2650304,7297,155,925360,955, [5-200), [666666-999999),118.85525,53024.04,24331.334,17116.41,8184.4507,32634.64, false
\rules\program-105.res,[1-5],3.24137931,5,1,1131878,1276,29,988394,181, [5-200), [666666-999999),73.82593,11261.613,22390.861,18508.496,2922.761,25387.45, false
\rules\program-106.res,[1-5],3.115384615,5,1,1443461,2301,52,869383,306, [5-200), [666666-999999),85.32109,15466.935,18727.455,16142.278,3087.4634,21900.238, false
\rules\program-107.res,[1-5],3.142857143,4,2,39590,137,7,848222,34, [5-200), [666666-999999),6.133834,5819.787,10367.208,15852.978,1044.0627,11417.404, false
\rules\program-108.res,[1-5],3.136690647,5,1,2580483,6347,139,973922,841, [5-200), [666666-999999),114.312836,43059.27,21496.637,17741.633,6920.3257,28531.275, false
\rules\program-109.res,[1-5],2.960526316,5,1,2295848,6130,152,964997,832, [5-200), [666666-999999),108.032646,43487.34,21454.764,17348.457,7548.6724,29111.469, false
\rules\program-10.res,[1-5],3.411764706,5,1,732063,1557,34,322553,224, [5-200), [0-333333),64.90426,6177.9194,6301.552,6578.2285,2613.3306,8979.787, false
\rules\program-110.res,[1-5],2.762886598,5,1,1340705,3209,97,785441,475, [5-200), [666666-999999),80.032684,20788.424,14891.917,13588.511,4591.096,19563.045, false
\rules\program-111.res,[1-5],2.666666667,5,1,536213,834,33,825360,148, [5-200), [666666-999999),44.324146,7890.374,12375.329,13939.78,2039.8584,14459.512, false
\rules\program-112.res,[1-5],2.939226519,5,1,2291355,6523,181,899114,950, [5-200), [666666-999999),138.43233,46923.06,18670.562,16549.09,17396.188,36205.18, false
\rules\program-113.res,[1-5],3.1,5,1,2037143,7127,170,701536,978, [5-200), [666666-999999),124.63018,40613.363,14206.28,13059.983,8000.6743,22331.584, false
\rules\program-114.res,[1-5],2.991150442,5,1,1650170,4330,113,710496,607, [5-200), [666666-999999),105.241425,20327.016,13667.425,13084.3545,5683.7876,19456.453, false
\rules\program-115.res,[1-5],3.289473684,5,1,1407183,1606,38,923189,235, [5-200), [666666-999999),87.909775,12919.141,22904.445,17666.729,3074.1973,26066.553, false
\rules\program-116.res,[1-5],2.46875,5,1,395747,859,32,686381,133, [5-200), [666666-999999),38.35813,6349.541,9456.022,11464.087,1873.1333,11367.514, false
\rules\program-117.res,[1-5],2.916230366,5,1,1893649,7049,191,724023,1019, [5-200), [666666-999999),99.383865,35981.21,14136.99,13137.866,8586.051,22822.426, false
\rules\program-118.res,[1-5],2.933333333,5,1,1964449,4903,135,857164,712, [5-200), [666666-999999),119.93262,30738.629,17830.92,15229.196,7280.254,25231.105, false
\rules\program-119.res,[1-5],3.2,5,1,2044822,4208,75,913114,483, [5-200), [666666-999999),104.82726,25611.174,19813.178,16940.936,4529.2524,24447.258, false
\rules\program-11.res,[1-5],3.041666667,5,1,765437,4913,120,264742,673, [5-200), [0-333333),78.17765,10373.385,4106.886,5181.308,5928.496,10113.561, false
\rules\program-120.res,[1-5],2.928143713,5,1,2357833,6262,167,986356,898, [5-200), [666666-999999),112.10853,47895.305,21067.19,17354.352,8895.7705,30075.07, false
\rules\program-121.res,[1-5],3.020547945,5,1,2279839,5961,146,913702,815, [5-200), [666666-999999),117.0665,37371.8,20452.14,16581.77,7949.073,28518.281, false
\rules\program-122.res,[1-5],3.0875,5,1,2663906,6898,160,998303,932, [5-200), [666666-999999),143.66377,37051.863,18978.219,18262.268,8908.809,28030.691, false
\rules\program-123.res,[1-5],3.117647059,5,1,1738302,4164,85,763278,507, [5-200), [666666-999999),91.6238,22702.906,16335.981,14157.28,5081.704,21509.309, false
\rules\program-124.res,[1-5],2.993377483,5,1,2347158,5919,151,954602,824, [5-200), [666666-999999),129.58165,39037.21,21865.148,17075.44,8589.461,30584.191, false
\rules\program-125.res,[1-5],3.191666667,5,1,2518327,4507,120,918200,695, [5-200), [666666-999999),128.79326,40383.375,22463.287,17177.275,6819.7095,29411.79, false
\rules\program-126.res,[1-5],3.247311828,5,1,2207161,4547,93,857666,584, [5-200), [666666-999999),112.6588,28004.242,20200.174,16276.144,5396.708,25709.54, false
\rules\program-127.res,[1-5],3.118644068,5,1,1289034,2336,59,669949,340, [5-200), [666666-999999),87.61661,12870.29,14235.758,12569.303,3551.742,17875.115, false
\rules\program-128.res,[1-5],3.010582011,5,1,2533999,6859,189,924208,1032, [5-200), [666666-999999),119.61642,55702.72,20786.637,16696.2,9307.907,30214.16, false
\rules\program-129.res,[1-5],2.965517241,5,1,1976154,4424,116,902284,632, [5-200), [666666-999999),101.826935,30916.652,19283.846,16154.837,6588.6855,25974.357, false
\rules\program-12.res,[1-5],2.932330827,5,1,396091,4798,133,128632,701, [5-200), [0-333333),50.581425,7186.935,1917.9775,2640.3093,6431.0967,8399.655, false
\rules\program-130.res,[1-5],3.210526316,5,1,1449897,1732,38,925654,237, [5-200), [666666-999999),71.71123,12948.372,19978.932,17180.217,2654.5842,22705.227, false
\rules\program-131.res,[1-5],2.872727273,5,1,2034437,5914,165,874007,850, [5-200), [666666-999999),109.20187,41527.043,17721.373,15406.39,7692.2056,25522.78, false
\rules\program-132.res,[1-5],3.042253521,5,1,2398299,6445,142,984986,827, [5-200), [666666-999999),135.7161,39661.426,22482.545,17799.475,7756.5312,30374.793, false
\rules\program-133.res,[1-5],3.382978723,5,1,1919147,2584,47,946483,317, [5-200), [666666-999999),105.87231,17026.111,24328.035,18341.936,3696.5261,28130.434, false
\rules\program-134.res,[1-5],2.727272727,5,1,1416029,2989,99,893027,467, [5-200), [666666-999999),76.37964,21975.076,17799.113,15636.923,5355.8604,23231.352, false
\rules\program-135.res,[1-5],3.037974684,5,1,2492374,7377,158,998385,914, [5-200), [666666-999999),120.94452,50438.566,22586.107,17786.162,8038.1426,30745.195, false
\rules\program-136.res,[1-5],2.967948718,5,1,2031091,5821,156,802263,831, [5-200), [666666-999999),122.6969,35898.742,17177.383,14341.155,7398.8696,24698.95, false
\rules\program-137.res,[1-5],2.6,4,2,6601,56,5,793587,17, [5-200), [666666-999999),2.772348,4819.678,7952.194,13264.927,724.8051,8679.771, false
\rules\program-138.res,[1-5],3.06097561,5,1,2356460,6793,164,870486,927, [5-200), [666666-999999),109.080956,49565.574,19137.922,15856.145,8197.708,27444.71, false
\rules\program-139.res,[1-5],3.052631579,5,1,1201627,2094,57,679048,310, [5-200), [666666-999999),69.82742,14383.313,14154.814,12287.974,3467.26,17691.902, false
\rules\program-13.res,[1-5],3.113636364,5,1,404670,1858,44,172058,260, [5-200), [0-333333),30.262768,4293.3667,2948.0728,3483.5544,2746.5132,5724.8486, false
\rules\program-140.res,[1-5],2.945736434,5,1,1848925,4586,129,797398,685, [5-200), [666666-999999),108.0992,32746.832,16900.5,14207.454,6284.463,23293.062, false
\rules\program-141.res,[1-5],2.964912281,5,1,1185896,2365,57,716623,327, [5-200), [666666-999999),86.44263,13858.223,14198.253,12986.46,3358.3684,17643.064, false
\rules\program-142.res,[1-5],2.872928177,5,1,2037804,6536,181,841525,929, [5-200), [666666-999999),112.87495,36576.938,16602.137,15207.563,8796.416,25511.428, false
\rules\program-143.res,[1-5],2.2,5,1,44757,159,5,696125,21, [5-200), [666666-999999),6.836965,3630.281,6917.906,11178.094,613.84534,7538.588, false
\rules\program-144.res,[1-5],3.116402116,5,1,2539792,7970,189,861357,1095, [5-200), [666666-999999),123.08227,55173.707,18269.072,16239.624,8926.175,27318.328, false
\rules\program-145.res,[1-5],3.102941176,5,1,1853260,3218,68,960275,406, [5-200), [666666-999999),94.68336,20837.777,23423.322,17727.572,4506.3115,28024.316, false
\rules\program-146.res,[1-5],2.801526718,5,1,1667136,4169,131,816078,644, [5-200), [666666-999999),95.09956,25646.105,15464.857,14201.155,6912.295,22472.252, false
\rules\program-147.res,[1-5],2.937062937,5,1,2013470,4625,143,839006,730, [5-200), [666666-999999),95.292786,28999.008,18075.188,15234.209,7555.6655,25726.146, false
\rules\program-148.res,[1-5],2.973404255,5,1,2602314,6732,188,986527,1006, [5-200), [666666-999999),130.6293,56629.188,22900.656,17727.025,9647.509,32678.793, false
\rules\program-149.res,[1-5],2.983146067,5,1,2433650,7256,178,955910,993, [5-200), [666666-999999),111.35129,47848.637,21445.002,17211.797,9526.955,31083.309, false
\rules\program-14.res,[1-5],2.918128655,5,1,533656,6163,171,175150,892, [5-200), [0-333333),39.68725,8614.924,2635.3125,3452.1045,8264.752,10939.752, false
\rules\program-150.res,[1-5],2.992248062,5,1,2093972,5337,129,906941,720, [5-200), [666666-999999),122.46873,37018.523,19943.39,16000.0205,6499.032,26564.89, false
\rules\program-151.res,[1-10],5.740740741,10,1,1194857,304247,81,223999,2781, [5-200), [0-333333),343.22556,30327.457,430401.06,6538.661,6808.0073,437552.28, false
\rules\program-152.res,[1-10],5.38125,10,1,159775,59632,160,30797,4988, [5-200), [0-333333),81.11936,4108.567,89219.914,995.692,12604.919,101905.95, false
\rules\program-154.res,[1-10],5.263157895,10,1,421987,126350,57,95009,1783, [5-200), [0-333333),155.82977,8887.277,172080.17,2841.6316,4852.0225,177088.02, false
\rules\program-155.res,[1-10],5.552845528,10,1,1265406,358689,123,252068,4146, [5-200), [0-333333),358.3967,44101.25,504553.38,7097.6675,9697.125,514608.9, false
\rules\program-157.res,[1-10],5.921568627,10,1,1457300,344409,51,274417,1799, [5-200), [0-333333),423.15656,20584.113,329374.44,8144.6475,4454.35,334251.94, false
\rules\program-158.res,[1-10],5.520833333,10,1,1189722,330365,144,232864,4787, [5-200), [0-333333),348.01453,38372.17,471850,6688.772,11261.051,483459.06, false
\rules\program-159.res,[1-10],5.361702128,10,1,326181,104861,141,63782,4347, [5-200), [0-333333),133.90025,8431.338,144592.33,1875.8805,10899.525,155625.77, false
\rules\program-15.res,[1-5],2.925,5,1,246009,3118,80,90230,432, [5-200), [0-333333),24.094835,4463.2607,1384.4791,1811.4454,4201.979,5610.5527, false
\rules\program-160.res,[1-10],5.34939759,10,1,328435,109034,166,65449,5426, [5-200), [0-333333),137.42938,7829.189,196411.48,1923.2653,12739.03,209287.94, false
\rules\program-162.res,[1-10],5.425925926,10,1,574816,136284,54,114039,1651, [5-200), [0-333333),170.93452,8378.345,237659.14,3252.803,4820.509,242650.6, false
\rules\program-163.res,[1-10],6.111111111,10,1,1002794,210745,9,209714,376, [5-200), [0-333333),259.48883,5086.881,307536.38,6485.6875,1455.6494,309251.53, false
\rules\program-164.res,[1-10],5.057692308,10,1,421811,122458,52,111162,1734, [5-200), [0-333333),163.10434,7729.183,294226.22,3079.3508,4288.6177,298677.94, false
