name,arity_profile,avg_arity,max_arity,min_arity,n_predicates,n_rules,predicate_profile,rule_profile,t_component,t_graph,t_parse,t_terminate,terminates
synthetic-at-rules/program-52-r.res,[1-5],2.894736842,5,1,19,58634, [5-200), [500000-600000),5.515752,240.11372,1542.8107,245.86034, false
synthetic-at-arity/program-48-r.res,[1-10],4.307692308,9,1,13,15684, [5-200), [0-333333),5.503907,94.19079,570.5767,99.92993, false
synthetic-at-predicate/program-627-r.res,[1-10],7,10,4,8,749656, [5-200), [666666-999999),5.10188,4697.0127,24231.068,4702.4043, false
synthetic-at-arity/program-19-r.res,[1-5],3.137931034,5,1,29,2640, [5-200), [0-333333),6.03118,27.08923,167.24089,33.3846, false
synthetic-at-predicate/program-276-r.res,[1-5],2.95,5,1,20,93151, [5-200), [666666-999999),5.612913,347.37158,2516.5398,353.2267, false
synthetic-at-rules/program-121-r.res,[1-10],6.444444444,10,1,9,162153, [5-200), [200000-300000),5.496421,1313.7538,6128.4204,1319.4941, false
synthetic-at-arity/program-320-r.res,[1-10],6.444444444,10,2,9,544481, [5-200), [666666-999999),5.140991,3594.3044,18883.758,3599.6685, false
synthetic-at-arity/program-70-r.res,[1-10],5.363636364,8,1,11,76266, [5-200), [0-333333),5.77836,460.76758,2725.411,466.77167, false
synthetic-at-predicate/program-962-r.res,[1-20],8.428571429,13,5,7,662533, [5-200), [666666-999999),5.09928,4871.2446,24864.682,4876.561, false
synthetic-at-arity/program-60-r.res,[1-10],5,10,2,12,85966, [5-200), [0-333333),5.473255,461.2761,2832.9873,466.9848, false
synthetic-at-arity/program-246-r.res,[1-5],2.708333333,5,1,24,77322, [5-200), [666666-999999),6.235697,418.88205,1886.397,425.38437, false
synthetic-at-arity/program-139-r.res,[1-5],3.9375,5,2,16,147007, [5-200), [333333-666666),5.559732,789.63116,3671.0762,795.4192, false
synthetic-at-rules/program-4-r.res,[1-5],3.368421053,5,1,19,22955, [5-200), [0-100000),5.574116,108.50436,705.8047,114.31098, false
synthetic-at-predicate/program-126-r.res,[1-5],3.611111111,5,1,18,128788, [5-200), [333333-666666),5.760646,499.42865,3274.7856,505.4257, false
synthetic-at-arity/program-148-r.res,[1-5],3,5,1,22,69975, [5-200), [333333-666666),5.991154,325.564,1748.8206,331.79434, false
synthetic-at-arity/program-22-r.res,[1-5],2.941176471,5,1,34,4087, [5-200), [0-333333),11.37872,36.370518,216.97975,48.015724, false
synthetic-at-arity/program-248-r.res,[1-5],2.615384615,5,1,26,58421, [5-200), [666666-999999),6.168756,248.69061,1507.1934,255.09355, false
synthetic-at-arity/program-207-r.res,[1-20],13.4,20,7,5,564582, [5-200), [333333-666666),5.326539,7288.8506,30710.172,7294.402, false
synthetic-at-predicate/program-850-r.res,[1-20],7.555555556,18,1,9,261598, [5-200), [333333-666666),5.903925,2611.4814,12908.483,2617.5999, false
synthetic-at-arity/program-26-r.res,[1-5],3.631578947,5,1,19,76113, [5-200), [0-333333),6.583508,431.93066,1957.8307,438.75558, false
synthetic-at-arity/program-11-r.res,[1-5],2.88,5,1,25,51945, [5-200), [0-333333),5.687848,219.75958,1402.7827,225.6682, false
synthetic-at-predicate/program-847-r.res,[1-20],10.14285714,16,2,7,481756, [5-200), [333333-666666),5.844198,4944.5625,22523.043,4950.6284, false
synthetic-at-arity/program-73-r.res,[1-10],5.073394495,10,1,109,1796, [5-200), [0-333333),8.480991,27.471945,165.20573,36.239662, false
synthetic-at-predicate/program-264-r.res,[1-5],2.740740741,5,1,27,64419, [5-200), [666666-999999),5.700935,245.64467,1612.6251,251.56372, false
synthetic-at-predicate/program-158-r.res,[1-5],2.846153846,5,1,26,68912, [5-200), [333333-666666),6.294264,315.17313,1750.9375,321.75696, false
synthetic-at-rules/program-38-r.res,[1-5],3.083333333,5,1,24,80152, [5-200), [300000-400000),6.995208,433.88742,2023.837,441.12115, false
synthetic-at-predicate/program-755-r.res,[1-20],14.8,19,3,5,276312, [5-200), [0-333333),6.038638,4911.672,18292.678,4917.9346, false
