name,arity_profile,avg_arity,db_size,max_arity,min_arity,n_predicates,n_rules,n_shapes,predicate_profile,rule_profile,t_component,t_graph,t_graph_d,t_parse,t_shapes,t_shapes_q,t_terminate_graph_d,terminates_graph
program17,[1-5],3.035714286,1000,5,1,280,366800,988, [200-400), [333333-666666),142.73228,32781.72,19207.42,7289.02,55416.9,4787.25,74767.055, false
program17,[1-5],3.035714286,50000,5,1,280,366800,1522, [200-400), [333333-666666),136.13359,25143.451,18198.193,7354.8003,110823.15,6616.29,129157.48, false
program17,[1-5],3.035714286,100000,5,1,280,366800,1605, [200-400), [333333-666666),232.91281,28043.35,18210.4,6915.5215,156683.25,11628.58,175126.56, false
program17,[1-5],3.035714286,250000,5,1,280,366800,1841, [200-400), [333333-666666),124.247574,30053.318,17773.848,7229.1953,213957.83,25946.62,231855.92, false
program17,[1-5],3.035714286,500000,5,1,280,366800,2152, [200-400), [333333-666666),193.8259,28878.213,17732.082,7039.5474,306141.44,48483.77,324067.34, false
program18,[1-5],2.971571906,1000,5,1,598,109898,2070, [400-600], [0-333333),159.24269,5222.146,4066.7393,2228.4763,132887.7,6210.01,137113.69, false
program18,[1-5],2.971571906,50000,5,1,598,109898,3124, [400-600], [0-333333),179.57112,5280.6523,3958.1204,2371.8142,282806.7,12033.21,286944.38, false
program18,[1-5],2.971571906,100000,5,1,598,109898,3313, [400-600], [0-333333),110.607666,4794.93,3907.544,2282.7283,303810.16,21569.35,307828.3, false
program18,[1-5],2.971571906,250000,5,1,598,109898,3781, [400-600], [0-333333),150.17717,5468.626,3856.9111,2273.8657,507859.62,51963,511866.72, false
program18,[1-5],2.971571906,500000,5,1,598,109898,4438, [400-600], [0-333333),147.9685,5873.6016,5429.3306,2427.549,684874,134052.52,690451.3, false
program19,[1-5],3.012195122,1000,5,1,246,212507,857, [200-400), [0-333333),175.85135,14793.22,9496.746,4349.8564,44372.91,3321.33,54045.51, false
program19,[1-5],3.012195122,50000,5,1,246,212507,1311, [200-400), [0-333333),115.748665,15657.164,9546.963,4089.8955,81420.35,5243.8,91083.06, false
program19,[1-5],3.012195122,100000,5,1,246,212507,1387, [200-400), [0-333333),112.261,16080.888,9996.188,4067.2395,93004.13,8466.02,103112.58, false
program19,[1-5],3.012195122,250000,5,1,246,212507,1587, [200-400), [0-333333),108.84414,14368.463,9619.95,4142.479,177791.92,19722.72,187520.72, false
program19,[1-5],3.012195122,500000,5,1,246,212507,1853, [200-400), [0-333333),167.23999,14620.741,9126.613,4107.0483,256134.67,40191.84,265428.53, false
program2,[1-5],2.901234568,1000,5,1,81,851585,278, [5-200), [666666-999999),152.29143,18635.852,57096.31,15275.232,17742.96,1120.54,74991.56, false
program2,[1-5],2.901234568,50000,5,1,81,851585,405, [5-200), [666666-999999),207.56383,17559.992,59163.2,15144.31,37332.13,1567.36,96702.89, false
program2,[1-5],2.901234568,100000,5,1,81,851585,425, [5-200), [666666-999999),152.23785,21246.041,57116.098,15294.271,30503.03,2677.65,87771.36, false
program2,[1-5],2.901234568,250000,5,1,81,851585,481, [5-200), [666666-999999),155.85281,13983.549,39158.168,15172.73,56761.18,6028.58,96075.195, false
program2,[1-5],2.901234568,500000,5,1,81,851585,576, [5-200), [666666-999999),159.2502,21742.025,53816.97,15238.009,80052.77,12195.22,134029, false
program20,[1-5],3.015521064,1000,5,1,451,513504,1604, [400-600], [333333-666666),256.8799,44078.383,26607.732,9672.762,91485.58,4819.62,118350.19, false
program20,[1-5],3.015521064,50000,5,1,451,513504,2425, [400-600], [333333-666666),283.41742,49090.785,26250.11,9722.027,215565.92,9626.03,242099.45, false
program20,[1-5],3.015521064,100000,5,1,451,513504,2573, [400-600], [333333-666666),261.84213,59091.758,25802.973,9680.043,236466.89,17835.42,262531.72, false
program20,[1-5],3.015521064,250000,5,1,451,513504,2937, [400-600], [333333-666666),293.42255,57079.664,27017.762,9715.129,386259.38,41558.79,413570.56, false
program20,[1-5],3.015521064,500000,5,1,451,513504,3463, [400-600], [333333-666666),240.94585,39312.066,22895.336,9727.686,525484.6,84973.08,548620.9, false
program21,[1-5],3.01,1000,5,1,500,783904,1764, [400-600], [666666-999999),355.3753,71891.83,44591.41,14174.927,99317.1,4089.28,144263.89, false
program21,[1-5],3.01,50000,5,1,500,783904,2654, [400-600], [666666-999999),312.79605,78823.414,42116.227,14381.446,244149.28,9709.91,286578.3, false
program21,[1-5],3.01,100000,5,1,500,783904,2811, [400-600], [666666-999999),337.55792,75164.15,44701.266,14536.334,260280.17,17839.69,305319, false
program21,[1-5],3.01,250000,5,1,500,783904,3191, [400-600], [666666-999999),334.98373,78457.75,45481.535,14250.901,436569.6,44609.33,482386.12, false
program21,[1-5],3.01,500000,5,1,500,783904,3772, [400-600], [666666-999999),325.98053,72277.41,43269.35,13977.25,576324.94,90811.3,619920.25, false
program22,[1-5],2.960264901,1000,5,1,151,478781,529, [5-200), [333333-666666),209.07054,27336.602,27256.232,8932.613,22753.45,1683.68,50218.75, false
program22,[1-5],2.960264901,50000,5,1,151,478781,806, [5-200), [333333-666666),171.01587,23708.018,28962.92,9080.823,49044.82,2950.33,78178.76, false
program22,[1-5],2.960264901,100000,5,1,151,478781,850, [5-200), [333333-666666),174.20418,28375.283,25857.99,8760.016,57550.04,5392.29,83582.234, false
program22,[1-5],2.960264901,250000,5,1,151,478781,974, [5-200), [333333-666666),173.00114,29155.041,27065.898,8855.886,107712.8,13521.76,134951.7, false
program22,[1-5],2.960264901,500000,5,1,151,478781,1136, [5-200), [333333-666666),163.10445,29377.744,27303.922,9087.84,152056.48,26577.67,179523.52, false
program23,[1-5],3.005366726,1000,5,1,559,60648,1974, [400-600], [0-333333),146.37811,3287.0293,2215.6465,1476.6263,109053.39,7422.1,111415.414, false
program23,[1-5],3.005366726,50000,5,1,559,60648,2979, [400-600], [0-333333),128.10294,3297.7327,2281.0747,1327.3816,262540.2,12815.68,264949.38, false
program23,[1-5],3.005366726,100000,5,1,559,60648,3163, [400-600], [0-333333),96.62138,3340.5942,2104.7021,1350.8696,288148.84,22076.96,290350.16, false
program23,[1-5],3.005366726,250000,5,1,559,60648,3617, [400-600], [0-333333),114.7234,3498.383,2156.762,1369.9943,474879.75,50924.73,477151.25, false
program23,[1-5],3.005366726,500000,5,1,559,60648,4267, [400-600], [0-333333),94.93131,3380.2708,2379.5884,1479.3596,633082.4,106978.73,635556.9, false
program24,[1-5],2.89787234,1000,5,1,235,136035,797, [200-400), [0-333333),153.05708,8849.364,5091.458,2769.6296,36431.21,1781.04,41675.723, false
program24,[1-5],2.89787234,50000,5,1,235,136035,1187, [200-400), [0-333333),84.931885,8376.69,5004.34,2818.005,76293.86,4102.63,81383.13, false
program24,[1-5],2.89787234,100000,5,1,235,136035,1258, [200-400), [0-333333),76.42652,8360.764,5351.622,2764.9797,86175.93,7806.75,91603.98, false
program24,[1-5],2.89787234,250000,5,1,235,136035,1445, [200-400), [0-333333),81.94735,7158.24,5156.038,2698.4177,164452.62,19272.65,169690.61, false
program24,[1-5],2.89787234,500000,5,1,235,136035,1691, [200-400), [0-333333),144.99475,7024.3574,5069.649,2763.2393,237088.66,36427.54,242303.3, false
program25,[1-5],3.056213018,1000,5,1,338,674586,1218, [200-400), [666666-999999),327.70255,53528.92,44250.12,12812.7,69008.43,1363.76,113586.25, false
program25,[1-5],3.056213018,50000,5,1,338,674586,1853, [200-400), [666666-999999),307.94223,67184.72,42767.656,12686.4,156779.8,5647.52,199855.39, false
program25,[1-5],3.056213018,100000,5,1,338,674586,1963, [200-400), [666666-999999),304.3787,74298.08,44573.477,12963.447,173602.8,10895.25,218480.66, false
program25,[1-5],3.056213018,250000,5,1,338,674586,2245, [200-400), [666666-999999),311.68314,59171.09,40539.72,12917.925,284929.66,27929.71,325781.06, false
program25,[1-5],3.056213018,500000,5,1,338,674586,2661, [200-400), [666666-999999),314.62134,58137.836,43188.863,13031.174,391848.62,57893.96,435352.12, false
program26,[1-5],2.987012987,1000,5,1,462,574189,1636, [400-600], [333333-666666),277.37308,53653.477,31412.48,10863.264,92206.04,2639.72,123895.89, false
program26,[1-5],2.987012987,50000,5,1,462,574189,2448, [400-600], [333333-666666),290.5051,62324.805,31532.287,10618.466,217125.55,8807.31,248948.34, false
program26,[1-5],2.987012987,100000,5,1,462,574189,2602, [400-600], [333333-666666),314.8006,54669.73,29583.31,10857.773,241990.4,16755.25,271888.53, false
program26,[1-5],2.987012987,250000,5,1,462,574189,2962, [400-600], [333333-666666),329.5211,48492.58,28250.566,10849.927,391516.25,41644.33,420096.34, false
program26,[1-5],2.987012987,500000,5,1,462,574189,3494, [400-600], [333333-666666),313.12073,65860.63,30691.373,10995.464,526558.4,87153.74,557562.9, false
program27,[1-5],2.986135182,1000,5,1,577,467398,2017, [400-600], [333333-666666),289.01532,36025.168,19819.04,9025.644,111482.12,9871.95,131590.17, false
program27,[1-5],2.986135182,50000,5,1,577,467398,3037, [400-600], [333333-666666),258.86127,38864.63,19149.879,8918.775,271481.4,14423.75,290890.16, false
program27,[1-5],2.986135182,100000,5,1,577,467398,3227, [400-600], [333333-666666),250.80345,40884.812,20411.373,8751.919,299046.88,23275.66,319709.06, false
program27,[1-5],2.986135182,250000,5,1,577,467398,3680, [400-600], [333333-666666),222.74475,36079.32,18526.45,8791.284,490602.47,57458.7,509351.66, false
program27,[1-5],2.986135182,500000,5,1,577,467398,4334, [400-600], [333333-666666),266.65146,40025.63,21432.43,8843.402,661450.06,123825.36,683149.1, false
program28,[1-5],3,1000,5,1,84,960045,292, [5-200), [666666-999999),250.01552,24163.482,73805.81,17595.465,17292.06,491.29,91347.88, false
program28,[1-5],3,50000,5,1,84,960045,454, [5-200), [666666-999999),174.65253,28411.863,75610.805,17359.049,28236.6,1436.92,104022.06, false
program28,[1-5],3,100000,5,1,84,960045,479, [5-200), [666666-999999),170.62807,23616.705,73980.11,17485.54,31964.57,2661.49,106115.305, false
program28,[1-5],3,250000,5,1,84,960045,547, [5-200), [666666-999999),174.21622,27263.057,77347.99,17327.877,59991.35,6694.92,137513.56, false
program28,[1-5],3,500000,5,1,84,960045,628, [5-200), [666666-999999),166.21083,27549.291,73934.125,17375.86,84426.67,13468,158527, false
program29,[1-5],2.966292135,1000,5,1,356,150148,1233, [200-400), [0-333333),102.98185,6963.575,5207.442,3023.9678,63160.86,2448.37,68471.29, false
program29,[1-5],2.966292135,50000,5,1,356,150148,1862, [200-400), [0-333333),122.234566,9600.946,5539.267,3031.1956,164464.6,6078.73,170126.1, false
program29,[1-5],2.966292135,100000,5,1,356,150148,1984, [200-400), [0-333333),104.94932,8311.298,5899.77,3019.52,164205.3,11485.6,170210.02, false
program29,[1-5],2.966292135,250000,5,1,356,150148,2249, [200-400), [0-333333),160.98836,8072.4023,6231.304,3005.0244,285709,28184.81,292101.28, false
program29,[1-5],2.966292135,500000,5,1,356,150148,2646, [200-400), [0-333333),187.09065,9716.071,6725.9565,2919.223,426796.62,60548.92,433709.7, false
program3,[1-5],3.108823529,1000,5,1,340,581104,1269, [200-400), [333333-666666),244.60008,68534.99,35649.934,11299.434,69234,3414.46,105128.53, false
program3,[1-5],3.108823529,50000,5,1,340,581104,1924, [200-400), [333333-666666),307.5516,56033.03,34527.695,11189.722,158305.6,8253.45,193140.84, false
program3,[1-5],3.108823529,100000,5,1,340,581104,2042, [200-400), [333333-666666),328.62466,50083.21,34672.984,10967.689,173079.5,15480.93,208081.11, false
program3,[1-5],3.108823529,250000,5,1,340,581104,2341, [200-400), [333333-666666),291.52213,58633.44,33595.12,11017.185,284671.4,34589.38,318558.06, false
program3,[1-5],3.108823529,500000,5,1,340,581104,2782, [200-400), [333333-666666),294.23257,69150.48,35451.645,11239.13,391581.22,67277.27,427327.1, false
program30,[1-5],3.051428571,1000,5,1,350,185861,1273, [200-400), [0-333333),122.514946,12310.318,7738.3467,3904.5637,62669,1863.59,70529.87, false
program30,[1-5],3.051428571,50000,5,1,350,185861,1929, [200-400), [0-333333),206.13707,11361.567,8112.3374,3601.753,149843,6106.49,158161.47, false
program30,[1-5],3.051428571,100000,5,1,350,185861,2050, [200-400), [0-333333),210.72888,13385.872,10739.781,3697.1204,197426.58,11863.58,208377.1, false
program30,[1-5],3.051428571,250000,5,1,350,185861,2346, [200-400), [0-333333),221.16107,11305.381,9447.502,3826.466,314310.7,29698.83,323979.34, false
program30,[1-5],3.051428571,500000,5,1,350,185861,2768, [200-400), [0-333333),205.57755,12205.09,8400.161,3884.9634,422655.47,62279.75,431261.22, false
program31,[1-5],2.963917526,1000,5,1,194,925944,680, [5-200), [666666-999999),265.37805,48955.766,68489.734,16659.95,42759.79,2836.25,111514.89, false
program31,[1-5],2.963917526,50000,5,1,194,925944,1011, [5-200), [666666-999999),279.33752,55292.184,70285.055,16691.424,90057.12,4369.93,160621.5, false
program31,[1-5],2.963917526,100000,5,1,194,925944,1072, [5-200), [666666-999999),287.4467,45689.992,66684.21,16622.266,94366.22,7109.11,161337.88, false
program31,[1-5],2.963917526,250000,5,1,194,925944,1213, [5-200), [666666-999999),256.86444,53686.566,66701.61,16831.904,170677.73,16679.54,237636.22, false
program31,[1-5],2.963917526,500000,5,1,194,925944,1408, [5-200), [666666-999999),274.0746,59796.164,68531.91,16537.55,233536.06,32165.97,302342.06, false
program32,[1-5],2.986046512,1000,5,1,215,698264,748, [200-400), [666666-999999),276.00546,40723.523,47588,13176.243,43232.39,2169.46,91096.39, false
program32,[1-5],2.986046512,50000,5,1,215,698264,1128, [200-400), [666666-999999),269.40674,52901.875,46550.668,13150.19,101310.66,3915.7,148130.73, false
program32,[1-5],2.986046512,100000,5,1,215,698264,1190, [200-400), [666666-999999),204.65613,40343.86,46845.535,12916.124,107422.81,7482.21,154473, false
program32,[1-5],2.986046512,250000,5,1,215,698264,1352, [200-400), [666666-999999),254.80782,51649.816,47380.016,12979.578,199325.7,17695.55,246960.53, false
program32,[1-5],2.986046512,500000,5,1,215,698264,1563, [200-400), [666666-999999),260.45557,43210.676,46825.81,12866.368,239539.16,35629.25,286625.44, false
program33,[1-5],2.986338798,1000,5,1,366,615427,1303, [200-400), [333333-666666),284.40662,51688.164,36235.855,11485.606,86900.58,3887.88,123420.84, false
program33,[1-5],2.986338798,50000,5,1,366,615427,1935, [200-400), [333333-666666),301.0013,60002.5,34612.492,11355.097,170443.16,7548.27,205356.66, false
program33,[1-5],2.986338798,100000,5,1,366,615427,2048, [200-400), [333333-666666),297.70395,58905.047,36138.297,11329.893,188052,13685.9,224488, false
