name,arity_profile,avg_arity,max_arity,min_arity,n_components,n_components_d,n_edges,n_edges_d,n_exist_vars,n_facts,n_nodes,n_nodes_d,n_predicates,n_rules,n_shapes,n_spacial_components,n_spacial_components_d,n_special_edges,n_special_edges_d,predicate_profile,rule_profile,t_component,t_graph,t_graph_d,t_parse,t_shapes,t_terminate_graph_avg,t_terminate_graph_d,t_terminate_graph_std,t_vlog,terminates_graph,total_t
\arity\program-144-small.res,[1-5], 3.3066666666666666, 5.0, 1.0, 0, 1, 171244, 1964098, 395547, 7500000, 248, 3791, 75.0, 791406, 474, 0, 1, 59520, 338889, [5-200), [666666-999999), 115.16676, 26493.318, 19936.262, 15032.057, 4480.382,NaN, 24531.809,NaN,null, false,null
\arity\program-551-small.res,[1-10], 3.6842105263157894, 9.0, 1.0, 0, 46563, 13673, 1249878, 369636, 1900000, 70, 64610, 19.0, 739675, 229, 0, 1, 4690, 212427, [5-200), [666666-999999), 130.9685, 8449.361, 64929.273, 15161.403, 1430.0135,NaN, 66490.26,NaN,null, false, 90305.3
\rules\program-311-small.res,[1-5], 2.923694779116466, 5.0, 1.0, 0, 3659, 255943, 105534, 14844, 24900000, 728, 8668, 249.0, 29528, 1330, 0, 1, 25602, 16174, [200-400), [0-333333), 25.438686, 2719.9724, 595.318, 733.7147, 11452.5,NaN, 12073.257,NaN,null, false, 15612.637
\arity\program-245-small.res,[1-5], 2.9138576779026217, 5.0, 1.0, 0, 99, 1423042, 1802229, 311655, 26700000, 778, 10157, 267.0, 623211, 1400, 0, 1, 335695, 287467, [200-400), [333333-666666), 100.9541, 49928.074, 11129.832, 11591.585, 12336.822,NaN, 23567.61,NaN,null, false, 85452.5
\predicate\program-639-small.res,[1-5], 2.993939393939394, 5.0, 1.0, 0, 7767, 104110, 37966, 5150, 49500000, 1482, 9867, 495.0, 10357, 2732, 0, 2, 9256, 5679, [400-600], [0-333333), 21.521345, 78.5688, 281.62045, 348.36362, 22282.834,NaN, 22585.977,NaN,null, false,null
\predicate\program-611-small.res,[1-5], 3.0038910505836576, 5.0, 1.0, 0, 1187, 1793365, 778987, 108964, 51400000, 1544, 20534, 514.0, 217958, 2857, 0, 1, 188195, 118834, [400-600], [0-333333), 99.57, 11235.903, 3493.592, 4273.804, 23265.62,NaN, 26858.781,NaN,null, false,null
\rules\program-419-small.res,[1-5], 2.983108108108108, 5.0, 1.0, 0, 111, 1901839, 2786293, 466787, 29600000, 883, 11510, 296.0, 934267, 1618, 0, 1, 490369, 448093, [200-400), [666666-999999), 143.91278, 75576.74, 19138.795, 16705.762, 13969.921,NaN, 33252.63,NaN,null, false, 126035.48
\arity\program-320-small.res,[1-5], 3.0357894736842104, 5.0, 1.0, 0, 2480, 1211920, 498724, 68339, 47500000, 1442, 19646, 475.0, 136679, 2678, 0, 1, 121998, 76090, [400-600], [0-333333), 50.207767, 6681.4585, 1899.7303, 2913.2878, 21459.654,NaN, 23409.592,NaN,null, false, 33202.46
\rules\program-325-small.res,[1-5], 2.959090909090909, 5.0, 1.0, 0, 4432, 111176, 42740, 5957, 22000000, 651, 6805, 220.0, 11894, 1201, 0, 1, 10367, 6470, [200-400), [0-333333), 15.922314, 2525.6177, 281.944, 379.7554, 10450.155,NaN, 10748.021,NaN,null, false, 13703.988
\predicate\program-517-small.res,[1-5], 3.0651465798045603, 5.0, 1.0, 0, 133, 2035937, 2334411, 360778, 30700000, 941, 13182, 307.0, 721747, 1773, 0, 1, 460106, 374994, [200-400), [666666-999999), 152.60347, 55264.797, 13270.358, 13481.001, 14245.481,NaN, 27668.443,NaN,null, false,null
\predicate\program-61-small.res,[1-10], 5.485436893203883, 10.0, 1.0, 0, 78895, 564309, 251820, 25075, 10300000, 565, 83610, 103.0, 50090, 3516, 0, 3, 78697, 40537, [5-200), [0-333333), 102.07671, 3611.6194, 155597.92, 1535.3463, 8167.561,NaN, 163867.56,NaN,null, false,null
\rules\program-685-small.res,[1-5], 2.9956989247311827, 5.0, 1.0, 0, 232, 2955344, 1748817, 254599, 46500000, 1393, 18710, 465.0, 510446, 2553, 0, 1, 404376, 271936, [400-600], [333333-666666), 116.19859, 39609.27, 8355.779, 9519.095, 20824.781,NaN, 29296.758,NaN,null, false, 78903.484
\rules\program-790-small.res,[1-10], 5.522887323943662, 10.0, 1.0, 0, 285407, 3340898, 783352, 74460, 56800000, 3137, 296143, 568.0, 149458, 19273, 0, 1, 272497, 124601, [400-600], [0-333333), 359.83685, 18849.797, 467865.53, 4496.757, 42581.68,NaN, 510807.06,NaN,null, false, 534757.94
