name,arity_profile,avg_arity,max_arity,min_arity,n_components,n_components_d,n_edges,n_edges_d,n_exist_vars,n_facts,n_nodes,n_nodes_d,n_predicates,n_rules,n_shapes,n_spacial_components,n_spacial_components_d,n_special_edges,n_special_edges_d,predicate_profile,rule_profile,t_component,t_graph,t_graph_d,t_parse,t_shapes,t_terminate_graph_avg,t_terminate_graph_d,t_terminate_graph_std,t_vlog,terminates_graph,total_t
\arity\program-376-small.res,[1-5], 3.0081967213114753, 5.0, 1.0, 0, 292, 2674756, 1384478, 196379, 48800000, 1468, 19416, 488.0, 393491, 2700, 0, 1, 328283, 213517, [400-600], [333333-666666), 118.95872, 31448.252, 5828.8, 7362.9834, 21687.635,NaN, 27635.393,NaN,null, false, 66875.914
\predicate\program-342-small.res,[1-5], 2.969187675070028, 5.0, 1.0, 0, 473, 1332344, 675482, 97894, 35700000, 1060, 13981, 357.0, 196167, 1963, 0, 1, 159435, 103506, [200-400), [0-333333), 50.661198, 11226.796, 2803.3694, 3664.4824, 15543.146,NaN, 18397.178,NaN,null, false,null
\arity\program-781-small.res,[1-10], 5.493738819320215, 10.0, 1.0, 0, 242663, 2820638, 657480, 62658, 55900000, 3071, 251959, 559.0, 125459, 18615, 0, 1, 228383, 104819, [400-600], [0-333333), 285.87106, 13942.237, 393336.38, 3664.9944, 39404.97,NaN, 433027.22,NaN,null, false, 451209.4
\predicate\program-435-small.res,[1-5], 3.0869565217391304, 5.0, 1.0, 0, 95, 1236911, 1851290, 292582, 23000000, 710, 9679, 230.0, 584015, 1316, 0, 1, 323525, 298604, [200-400), [333333-666666), 119.0179, 32328.506, 10717.057, 11248.762, 10962.734,NaN, 21798.809,NaN,null, false,null
\predicate\program-627-small.res,[1-5], 3.018867924528302, 5.0, 1.0, 0, 444, 2184053, 1045366, 147287, 47700000, 1440, 19489, 477.0, 294692, 2679, 0, 1, 250849, 160619, [400-600], [0-333333), 104.49777, 16815.059, 4493.3394, 5629.582, 22216.182,NaN, 26814.02,NaN,null, false,null
\rules\program-172-small.res,[1-10], 5.05, 10.0, 1.0, 0, 66318, 28879, 284688, 36548, 2000000, 101, 70953, 20.0, 73325, 597, 0, 2, 9999, 46193, [5-200), [0-333333), 94.91745, 3603.3901, 126853.7, 2138.099, 1862.478,NaN, 128811.09,NaN,null, false, 134649.33
\rules\program-415-small.res,[1-5], 2.9973262032085564, 5.0, 1.0, 0, 145, 2846123, 3131271, 497370, 37400000, 1121, 14827, 374.0, 994462, 2051, 0, 1, 621906, 499739, [200-400), [666666-999999), 153.56123, 85038.11, 20020.012, 17770.402, 17061.182,NaN, 37234.754,NaN,null, false, 140702.5
\arity\program-5-small.res,[1-5], 2.962962962962963, 5.0, 1.0, 0, 1, 272998, 714135, 136697, 10800000, 320, 4391, 108.0, 273173, 606, 0, 1, 85863, 115777, [5-200), [0-333333), 40.088184, 9661.763, 4285.7666, 5440.9077, 5973.0786,NaN, 10298.934,NaN,null, false,null
\rules\program-181-small.res,[1-10], 5.2388059701492535, 10.0, 1.0, 0, 232666, 1134423, 984964, 100606, 13400000, 702, 249412, 134.0, 201525, 3935, 0, 1, 244788, 159289, [5-200), [0-333333), 313.1033, 29450.398, 360452.4, 5634.697, 10189.976,NaN, 370955.47,NaN,null, false, 406381.22
\rules\program-743-small.res,[1-5], 3.005893909626719, 5.0, 1.0, 0, 199, 4223759, 2958086, 439720, 50900000, 1530, 20384, 509.0, 877573, 2814, 0, 1, 664581, 464038, [400-600], [666666-999999), 170.98083, 76078.45, 16207.783, 15823.788, 22248.55,NaN, 38627.312,NaN,null, false, 131285.55
\rules\program-490-small.res,[1-10], 5.276679841897233, 10.0, 1.0, 0, 112829, 1195708, 314692, 32677, 25300000, 1335, 116908, 253.0, 65211, 8284, 0, 1, 106180, 50051, [200-400), [0-333333), 144.21132, 7013.4634, 196489.14, 1935.2607, 18292.12,NaN, 214925.48,NaN,null, false, 224114.44
\rules\program-344-small.res,[1-5], 3.1106194690265485, 5.0, 1.0, 0, 847, 576528, 283503, 38006, 22600000, 703, 9478, 226.0, 76364, 1299, 0, 1, 68906, 43915, [200-400), [0-333333), 47.84879, 4680.312, 1148.015, 1633.0809, 10744.304,NaN, 11940.168,NaN,null, false, 18423.604
\arity\program-758-small.res,[1-10], 5.660583941605839, 10.0, 1.0, 0, 142734, 1562785, 342261, 32274, 54800000, 3102, 147108, 548.0, 64600, 19941, 0, 1, 122379, 54648, [400-600], [0-333333), 184.07881, 5397.171, 269405.3, 2017.1676, 41848.316,NaN, 311437.72,NaN,null, false, 319110.97
\arity\program-388-small.res,[1-5], 2.991578947368421, 5.0, 1.0, 0, 210, 3068560, 1817325, 264561, 47500000, 1421, 18734, 475.0, 528479, 2601, 0, 1, 421760, 283259, [400-600], [333333-666666), 136.69025, 38118.184, 8120.104, 9981.142, 20961.89,NaN, 29218.684,NaN,null, false,null
\rules\program-480-small.res,[1-10], 5.5083056478405314, 10.0, 1.0, 0, 221537, 2293297, 625103, 61520, 30100000, 1658, 229442, 301.0, 123472, 10476, 0, 1, 212358, 99378, [200-400), [0-333333), 266.0531, 16802.135, 342661.1, 3575.2793, 22341.477,NaN, 365268.62,NaN,null, false, 385993.47
\rules\program-184-small.res,[1-10], 5.496598639455782, 10.0, 1.0, 0, 105447, 898519, 315486, 30312, 14700000, 808, 110351, 147.0, 60832, 4834, 0, 1, 102768, 50550, [5-200), [0-333333), 137.48738, 7664.1147, 162687.8, 1848.5228, 11553.199,NaN, 174378.48,NaN,null, false, 184099.47
\arity\program-473-small.res,[1-10], 5.471794871794872, 10.0, 1.0, 0, 163781, 1547631, 543804, 51876, 19500000, 1067, 173081, 195.0, 103747, 6471, 0, 1, 176980, 87686, [5-200), [0-333333), 201.17622, 13927.257, 289002.7, 3026.2407, 14781.029,NaN, 303984.9,NaN,null, false, 321279.62
\predicate\program-609-small.res,[1-5], 2.995943204868154, 5.0, 1.0, 0, 1336, 1593328, 689912, 96400, 49300000, 1477, 19582, 493.0, 192803, 2736, 0, 1, 166980, 105462, [400-600], [0-333333), 87.18209, 9530.4795, 2645.6497, 3749.038, 22046.668,NaN, 24779.5,NaN,null, false,null
\arity\program-47-small.res,[1-5], 3.3559322033898304, 5.0, 1.0, 0, 1, 108138, 400196, 59944, 5900000, 198, 2865, 59.0, 119855, 376, 0, 1, 36741, 66433, [5-200), [0-333333), 31.307707, 3100.926, 1954.7983, 2688.5173, 3628.9016,NaN, 5615.008,NaN,null, false,null
\arity\program-87-small.res,[1-5], 3.0, 5.0, 1.0, 0, 71, 798140, 1334056, 223526, 18800000, 564, 7295, 188.0, 447303, 1023, 0, 1, 220408, 216715, [5-200), [333333-666666), 112.288445, 31727.787, 7852.3384, 8171.27, 8725.068,NaN, 16689.695,NaN,null, false,null
\arity\program-763-small.res,[1-10], 5.45475113122172, 10.0, 1.0, 0, 308211, 3686523, 960458, 92096, 44200000, 2411, 323566, 442.0, 183865, 14399, 0, 1, 327973, 153528, [400-600], [0-333333), 339.44266, 25491.209, 519137.6, 5378.3677, 33859.67,NaN, 553336.7,NaN,null, false, 584840.1
\rules\program-634-small.res,[1-5], 2.979123173277662, 5.0, 1.0, 0, 6671, 553473, 211608, 29325, 47900000, 1427, 17347, 479.0, 58472, 2612, 0, 1, 51928, 32121, [400-600], [0-333333), 56.351864, 3494.4048, 1034.4225, 1322.0726, 20975.559,NaN, 22066.332,NaN,null, false, 27049.098
\arity\program-233-small.res,[1-5], 3.0082644628099175, 5.0, 1.0, 0, 93, 1177391, 1226854, 189641, 24200000, 728, 9476, 242.0, 379315, 1354, 0, 1, 248766, 195905, [200-400), [333333-666666), 113.23047, 32489.33, 6134.632, 7052.9624, 11249.716,NaN, 17497.578,NaN,null, false, 57465.07
\predicate\program-131-small.res,[1-5], 3.0, 5.0, 1.0, 0, 7, 4857, 360814, 278516, 1400000, 42, 601, 14.0, 557340, 79, 0, 1, 1596, 70075, [5-200), [333333-666666), 34.874756, 2580.9243, 8242.974, 10443.95, 1346.5403,NaN, 9624.389,NaN,null, false,null
\predicate\program-120-small.res,[1-5], 2.993197278911565, 5.0, 1.0, 0, 51, 522047, 1563787, 295549, 14700000, 440, 5558, 147.0, 590762, 804, 0, 1, 168860, 254426, [5-200), [333333-666666), 81.78557, 24827.197, 10590.117, 11048.133, 7702.2534,NaN, 18374.156,NaN,null, false,null
\rules\program-474-small.res,[1-10], 5.51015228426396, 10.0, 1.0, 0, 190519, 2209454, 543668, 51717, 39400000, 2171, 199100, 394.0, 103068, 13142, 0, 1, 187749, 87085, [200-400), [0-333333), 236.62004, 13795.8125, 324560.03, 3122.3445, 29516.648,NaN, 354313.3,NaN,null, false, 371600.94
\arity\program-65-small.res,[1-5], 3.0742857142857143, 5.0, 1.0, 0, 79, 720353, 1154323, 187351, 17500000, 538, 7694, 175.0, 376516, 1028, 0, 1, 194629, 186133, [5-200), [333333-666666), 73.12042, 27688.428, 6605.5615, 7212.033, 8832.064,NaN, 15510.746,NaN,null, false, 50722.2
\arity\program-71-small.res,[1-5], 2.9488636363636362, 5.0, 1.0, 0, 65, 702114, 1507508, 278191, 17600000, 519, 6711, 176.0, 557137, 937, 0, 1, 210778, 244299, [5-200), [333333-666666), 88.03529, 33394.2, 11030.119, 10530.434, 8374.501,NaN, 19492.656,NaN,null, false, 63703.45
\rules\program-705-small.res,[1-5], 3.0189473684210526, 5.0, 1.0, 0, 190, 3744354, 2652753, 391152, 47500000, 1434, 19037, 475.0, 781484, 2634, 0, 1, 594372, 416502, [400-600], [666666-999999), 171.69621, 66426.695, 15091.304, 14098.565, 20617.148,NaN, 35880.15,NaN,null, false, 117085.48
\predicate\program-606-small.res,[1-5], 2.9753086419753085, 5.0, 1.0, 0, 2261, 933550, 394849, 55669, 40500000, 1205, 16290, 405.0, 111328, 2249, 0, 3, 95189, 60110, [400-600], [0-333333), 54.86426, 3171.0571, 1650.878, 2276.89, 17995.627,NaN, 19701.37,NaN,null, false,null
\rules\program-625-small.res,[1-5], 3.0, 5.0, 1.0, 0, 3748, 1052770, 420839, 57933, 50400000, 1512, 19816, 504.0, 116487, 2776, 0, 1, 102022, 63613, [400-600], [0-333333), 58.865353, 6185.3286, 1751.6384, 2396.7285, 22183.898,NaN, 23994.402,NaN,null, false, 32812.895
\rules\program-99-small.res,[1-5], 2.933333333333333, 5.0, 1.0, 0, 59, 848970, 1744388, 314920, 19500000, 572, 6707, 195.0, 630002, 1025, 0, 1, 253175, 284679, [5-200), [333333-666666), 115.12577, 33869.348, 12883.692, 11790.469, 8970.681,NaN, 21969.5,NaN,null, false, 67972.7
\rules\program-456-small.res,[1-10], 5.262962962962963, 10.0, 1.0, 0, 77293, 862002, 215145, 21353, 27000000, 1421, 80813, 270.0, 42533, 8288, 0, 2, 72768, 34391, [200-400), [0-333333), 101.35511, 4296.1074, 128645.47, 1346.743, 20032.137,NaN, 148778.95,NaN,null, false, 154597.36
\predicate\program-34-small.res,[1-5], 3.1403508771929824, 5.0, 1.0, 0, 41, 84356, 192515, 32136, 5700000, 179, 2766, 57.0, 64519, 354, 0, 1, 25791, 30982, [5-200), [0-333333), 20.179909, 1213.7678, 1075.84, 1405.4952, 3382.5583,NaN, 4478.578,NaN,null, false,null
\rules\program-476-small.res,[1-10], 5.248756218905473, 10.0, 1.0, 0, 106873, 1067727, 314961, 32391, 20100000, 1055, 111289, 201.0, 64848, 6350, 0, 1, 104659, 50257, [200-400), [0-333333), 154.71738, 7633.789, 172367.88, 1972.4918, 15236.234,NaN, 187758.83,NaN,null, false, 197604.34
\predicate\program-530-small.res,[1-5], 2.969298245614035, 5.0, 1.0, 0, 83, 1204907, 2731414, 498112, 22800000, 677, 8668, 228.0, 995324, 1243, 0, 1, 368550, 445013, [200-400), [666666-999999), 137.42082, 73967.4, 23584.664, 17837.883, 10605.045,NaN, 34327.13,NaN,null, false,null
\rules\program-324-small.res,[1-5], 2.9554140127388533, 5.0, 1.0, 0, 147, 1513599, 1037526, 156714, 31400000, 928, 12048, 314.0, 313703, 1688, 0, 1, 232517, 161965, [200-400), [0-333333), 74.510895, 24363.15, 4865.3794, 6261.1006, 13854.443,NaN, 18794.334,NaN,null, false, 49703.305
\rules\program-37-small.res,[1-5], 3.0714285714285716, 5.0, 1.0, 0, 67, 551463, 834662, 131597, 15400000, 473, 6513, 154.0, 264360, 861, 0, 1, 146134, 135128, [5-200), [0-333333), 58.953766, 15801.872, 4083.6877, 5340.1826, 7397.2554,NaN, 11539.896,NaN,null, false, 32924.664
\arity\program-115-small.res,[1-5], 2.8595041322314048, 5.0, 1.0, 0, 39, 327682, 1693379, 405211, 12100000, 346, 4134, 121.0, 810101, 617, 0, 1, 108907, 281970, [5-200), [666666-999999), 103.89856, 23859.068, 16814.111, 14144.135, 6058.3154,NaN, 22976.324,NaN,null, false, 61271.84
\arity\program-235-small.res,[1-5], 2.9703504043126685, 5.0, 1.0, 0, 160, 2072128, 1364053, 205847, 37100000, 1102, 14456, 371.0, 412018, 2009, 0, 1, 307638, 212547, [200-400), [333333-666666), 84.576935, 33379.56, 6375.6665, 7567.5767, 16197.751,NaN, 22657.994,NaN,null, false, 64106.715
\rules\program-157-small.res,[1-10], 5.921568627450981, 10.0, 1.0, 0, 311396, 257939, 1457300, 136767, 5100000, 302, 344409, 51.0, 274417, 1799, 0, 1, 90015, 236985, [5-200), [0-333333), 423.15656, 20584.113, 329374.44, 8144.6475, 4454.35,NaN, 334251.94,NaN,null, false, 363286.84
\rules\program-441-small.res,[1-5], 3.096069868995633, 5.0, 1.0, 0, 107, 1275672, 2271828, 373801, 22900000, 709, 10375, 229.0, 746595, 1315, 0, 1, 360621, 366876, [200-400), [666666-999999), 139.68112, 45514.168, 14951.482, 13664.666, 10483.625,NaN, 25574.79,NaN,null, false, 85296.664
\rules\program-604-small.res,[1-5], 3.002178649237473, 5.0, 1.0, 0, 943, 1585194, 709097, 98687, 45900000, 1378, 18089, 459.0, 198481, 2523, 0, 1, 169306, 107704, [400-600], [0-333333), 92.31141, 13686.104, 2766.9675, 3804.8052, 20660.885,NaN, 23520.164,NaN,null, false, 41420.0
\rules\program-242-small.res,[1-10], 6.333333333333333, 9.0, 1.0, 0, 227753, 25581, 2238587, 206030, 1500000, 95, 312446, 15.0, 412081, 556, 0, 1, 8930, 366167, [5-200), [333333-666666), 430.70422, 11298.614, 187444.22, 12860.224, 1883.9193,NaN, 189758.84,NaN,null, false, 214282.31
\arity\program-395-small.res,[1-5], 3.0, 5.0, 1.0, 0, 251, 2610731, 1480551, 215476, 44800000, 1344, 18265, 448.0, 431261, 2486, 0, 1, 345402, 229701, [400-600], [333333-666666), 126.77592, 36577.785, 6696.0537, 8052.67, 19847.443,NaN, 26670.273,NaN,null, false, 71890.94
\predicate\program-679-small.res,[1-10], 5.458, 10.0, 1.0, 0, 164181, 1899531, 437348, 42508, 50000000, 2729, 170549, 500.0, 84503, 16647, 0, 1, 153182, 69971, [400-600], [0-333333), 196.35687, 4840.78, 290543.78, 2564.9583, 37863.277,NaN, 328603.4,NaN,null, false,null
\predicate\program-305-small.res,[1-5], 3.002840909090909, 5.0, 1.0, 0, 238, 1763825, 1072214, 156500, 35200000, 1057, 13863, 352.0, 313363, 1954, 0, 1, 246640, 166548, [200-400), [0-333333), 88.77573, 18524.23, 4559.3555, 5934.89, 16322.9795,NaN, 20971.111,NaN,null, false,null
\arity\program-217-small.res,[1-5], 2.9356223175965663, 5.0, 1.0, 0, 91, 1163542, 1870595, 328744, 23300000, 684, 9000, 233.0, 656595, 1233, 0, 1, 313719, 302738, [200-400), [333333-666666), 106.16786, 39746.16, 12088.18, 12119.858, 10378.489,NaN, 22572.836,NaN,null, false, 74793.67
\predicate\program-520-small.res,[1-5], 3.0562130177514795, 5.0, 1.0, 0, 141, 2309811, 2228084, 337013, 33800000, 1033, 14158, 338.0, 674586, 1921, 0, 1, 463977, 353967, [200-400), [666666-999999), 137.38022, 57866.742, 12209.277, 12357.76, 15680.789,NaN, 28027.445,NaN,null, false,null
\rules\program-83-small.res,[1-5], 3.019607843137255, 5.0, 1.0, 0, 25, 65386, 1085338, 315571, 5100000, 154, 2281, 51.0, 631463, 298, 0, 1, 21868, 187621, [5-200), [333333-666666), 82.21693, 10656.291, 11306.945, 11964.057, 2748.0947,NaN, 14137.257,NaN,null, false, 36971.227
\arity\program-479-small.res,[1-10], 5.661616161616162, 10.0, 1.0, 0, 238476, 1958961, 746849, 70446, 19800000, 1121, 249832, 198.0, 141535, 7032, 0, 1, 243493, 120072, [5-200), [0-333333), 301.97073, 22048.078, 369208.06, 4213.7783, 15871.711,NaN, 385381.75,NaN,null, false, 412059.0
\rules\program-112-small.res,[1-5], 2.9392265193370166, 5.0, 1.0, 0, 61, 764832, 2291355, 449574, 18100000, 532, 6523, 181.0, 899114, 950, 0, 1, 248800, 377229, [5-200), [666666-999999), 138.43233, 46923.06, 18670.562, 16549.09, 17396.188,NaN, 36205.18,NaN,null, false, 100148.12
\predicate\program-206-small.res,[1-5], 3.0517241379310347, 5.0, 1.0, 0, 47, 346164, 1750228, 354097, 11600000, 354, 4703, 116.0, 707162, 661, 0, 1, 117604, 293739, [5-200), [666666-999999), 106.406456, 23843.088, 13711.733, 12995.347, 5772.377,NaN, 19590.516,NaN,null, false,null
\rules\program-8-small.res,[1-5], 3.090909090909091, 5.0, 1.0, 0, 17, 51189, 292111, 57751, 4400000, 136, 1759, 44.0, 116270, 249, 0, 1, 17498, 48915, [5-200), [0-333333), 32.413986, 3923.7327, 1940.0288, 2413.4956, 2616.2085,NaN, 4588.6514,NaN,null, false, 11014.107
\predicate\program-207-small.res,[1-5], 3.0, 5.0, 1.0, 0, 9, 25468, 745853, 397933, 3200000, 96, 1013, 32.0, 796859, 168, 0, 1, 8736, 144501, [5-200), [666666-999999), 40.703987, 6779.067, 14188.962, 14546.542, 2329.876,NaN, 16559.543,NaN,null, false,null
\arity\program-496-small.res,[1-10], 5.422535211267606, 10.0, 1.0, 0, 1, 885148, 341192, 32172, 14200000, 770, 108762, 142.0, 64403, 4384, 0, 1, 108030, 54942, [5-200), [0-333333), 56.325623, 5546.2812, 162274.97, 1972.0154, 12147.857,NaN, 174479.16,NaN,null, false,null
\predicate\program-323-small.res,[1-5], 3.0255102040816326, 5.0, 1.0, 0, 1069, 1262773, 570364, 80145, 39200000, 1186, 16536, 392.0, 160962, 2246, 0, 1, 136934, 87005, [200-400), [0-333333), 51.725582, 7815.5513, 2347.9175, 3169.076, 18769.57,NaN, 21169.213,NaN,null, false,null
\predicate\program-405-small.res,[1-5], 2.952141057934509, 5.0, 1.0, 0, 156, 2631480, 2012556, 310283, 39700000, 1172, 15352, 397.0, 621353, 2150, 0, 1, 440849, 316097, [200-400), [333333-666666), 135.94597, 43548.973, 10524.771, 11440.127, 17486.219,NaN, 28146.938,NaN,null, false,null
\predicate\program-228-small.res,[1-5], 3.0555555555555554, 5.0, 1.0, 0, 7, 8319, 522382, 423663, 1800000, 55, 688, 18.0, 847105, 101, 0, 1, 2805, 104130, [5-200), [666666-999999), 36.47078, 5048.0703, 13957.144, 15635.663, 1790.3229,NaN, 15783.9375,NaN,null, false,null
\rules\program-369-small.res,[1-5], 2.945736434108527, 5.0, 1.0, 0, 98, 1347210, 1646858, 274028, 25800000, 760, 9739, 258.0, 548046, 1396, 0, 1, 313293, 263269, [200-400), [333333-666666), 96.72724, 35491.215, 9920.093, 10177.241, 11207.661,NaN, 21224.48,NaN,null, false, 67294.94
\arity\program-162-small.res,[1-5], 2.8847736625514404, 5.0, 1.0, 0, 89, 1039986, 968560, 160537, 24300000, 701, 8766, 243.0, 319641, 1258, 0, 1, 201373, 153532, [200-400), [0-333333), 91.906815, 17582.361, 5159.593, 6122.204, 10759.889,NaN, 16011.389,NaN,null, false, 40035.168
\arity\program-130-small.res,[1-5], 3.066666666666667, 5.0, 1.0, 0, 1, 23380, 738423, 337805, 3000000, 92, 1099, 30.0, 676212, 167, 0, 1, 7912, 140189, [5-200), [666666-999999), 48.41682, 5137.655, 12496.199, 12503.906, 2294.4998,NaN, 14839.116,NaN,null, false,null
\arity\program-80-small.res,[1-5], 3.0357142857142856, 5.0, 1.0, 0, 1, 20037, 470361, 174747, 2800000, 85, 1236, 28.0, 350127, 158, 0, 1, 6885, 85534, [5-200), [333333-666666), 37.370605, 3086.4978, 6154.558, 6608.3564, 2153.8967,NaN, 8345.825,NaN,null, false,null
\rules\program-331-small.res,[1-5], 2.9858757062146895, 5.0, 1.0, 0, 4603, 418467, 164001, 22460, 35400000, 1057, 12693, 354.0, 45272, 1914, 0, 1, 39906, 24658, [200-400), [0-333333), 44.903057, 3362.2466, 862.0558, 1002.5821, 15591.957,NaN, 16498.916,NaN,null, false, 20997.61
\arity\program-193-small.res,[1-5], 3.046511627906977, 5.0, 1.0, 0, 464, 1531532, 747309, 103381, 38700000, 1179, 15599, 387.0, 207077, 2174, 0, 1, 179593, 115436, [200-400), [0-333333), 90.18361, 12459.548, 3115.9932, 4042.155, 17754.18,NaN, 20960.355,NaN,null, false, 37777.96
\predicate\program-438-small.res,[1-5], 3.0357142857142856, 5.0, 1.0, 0, 112, 1467541, 1229793, 183350, 28000000, 850, 11141, 280.0, 366800, 1555, 0, 1, 265610, 194641, [200-400), [333333-666666), 74.809235, 31159.367, 5638.186, 6892.0166, 13098.574,NaN, 18811.57,NaN,null, false,null
\arity\program-271-small.res,[1-5], 3.065359477124183, 5.0, 1.0, 0, 129, 2112342, 2860099, 450558, 30600000, 938, 12863, 306.0, 899859, 1747, 0, 1, 525095, 460944, [200-400), [666666-999999), 135.79854, 79723.47, 18021.54, 16214.304, 13392.445,NaN, 31549.783,NaN,null, false, 128075.44
\arity\program-62-small.res,[1-5], 2.907142857142857, 5.0, 1.0, 0, 1, 448065, 1365901, 276235, 14000000, 407, 5062, 140.0, 553455, 725, 0, 1, 145829, 225410, [5-200), [333333-666666), 94.93199, 25287.594, 9865.983, 10501.397, 6302.432,NaN, 16263.348,NaN,null, false,null
\rules\program-436-small.res,[1-5], 2.986111111111111, 5.0, 1.0, 0, 81, 1089746, 2414202, 435902, 21600000, 645, 8449, 216.0, 873627, 1198, 0, 1, 330121, 390835, [200-400), [666666-999999), 112.3792, 54558.05, 17789.467, 15999.762, 10019.146,NaN, 27920.992,NaN,null, false, 98884.46
\rules\program-57-small.res,[1-5], 2.952, 5.0, 1.0, 0, 43, 371346, 1401134, 287226, 12500000, 369, 4640, 125.0, 574291, 671, 0, 1, 122409, 229042, [5-200), [333333-666666), 76.49225, 23116.633, 10188.522, 10676.804, 5778.9463,NaN, 16043.961,NaN,null, false, 50063.742
\predicate\program-360-small.res,[1-10], 5.551724137931035, 10.0, 1.0, 0, 245464, 2536742, 720789, 71184, 29000000, 1610, 255111, 290.0, 143028, 10437, 0, 1, 246445, 114977, [200-400), [0-333333), 320.73874, 18596.932, 485946.4, 4353.562, 22851.371,NaN, 509118.53,NaN,null, false,null
\rules\program-467-small.res,[1-10], 5.462643678160919, 10.0, 1.0, 0, 389319, 4034655, 1249624, 121756, 34800000, 1901, 408074, 348.0, 243425, 11339, 0, 1, 415813, 200424, [200-400), [0-333333), 435.65128, 52780.31, 491929.7, 6771.391, 25531.37,NaN, 517896.72,NaN,null, false, 578096.2
\rules\program-79-small.res,[1-5], 3.024390243902439, 5.0, 1.0, 0, 69, 632996, 1223525, 210738, 16400000, 496, 6821, 164.0, 420610, 911, 0, 1, 184953, 198772, [5-200), [333333-666666), 102.69986, 23036.727, 7545.062, 7787.2876, 7861.482,NaN, 15509.244,NaN,null, false, 46649.15
\arity\program-636-small.res,[1-10], 5.54954954954955, 10.0, 1.0, 0, 178717, 1979688, 496873, 47186, 33300000, 1848, 185866, 333.0, 94849, 11484, 0, 1, 172470, 79155, [200-400), [0-333333), 212.73036, 11283.854, 298552.56, 2925.071, 23969.508,NaN, 322734.78,NaN,null, false, 337242.28
\arity\program-128-small.res,[1-5], 3.0775862068965516, 5.0, 1.0, 0, 55, 351533, 1783454, 358466, 11600000, 357, 5242, 116.0, 717392, 678, 0, 1, 118935, 294963, [5-200), [666666-999999), 117.26481, 25626.822, 14616.488, 13202.175, 6011.69,NaN, 20745.443,NaN,null, false, 59883.758
\predicate\program-76-small.res,[1-10], 5.151515151515151, 10.0, 1.0, 0, 100240, 81344, 412113, 51001, 3300000, 170, 107217, 33.0, 102053, 1066, 0, 1, 28041, 67006, [5-200), [0-333333), 138.45815, 3727.034, 210517.72, 2748.4434, 2786.2166,NaN, 213442.39,NaN,null, false,null
\arity\program-38-small.res,[1-5], 2.9440993788819876, 5.0, 1.0, 0, 130, 436411, 344483, 52834, 16100000, 474, 5726, 161.0, 106024, 838, 0, 1, 74655, 53987, [5-200), [0-333333), 46.655083, 5462.24, 1478.7057, 2161.693, 7815.3765,NaN, 9340.737,NaN,null, false, 17127.818
\arity\program-48-small.res,[1-5], 3.1666666666666665, 5.0, 1.0, 0, 1, 3976, 161260, 79469, 1200000, 38, 458, 12.0, 158538, 65, 0, 1, 1368, 31242, [5-200), [0-333333), 15.406666, 855.4088, 2747.6528, 3278.7737, 1036.9062,NaN, 3799.9658,NaN,null, false,null
\predicate\program-386-small.res,[1-10], 5.386740331491713, 10.0, 1.0, 0, 130023, 1489706, 365118, 35354, 36200000, 1950, 135755, 362.0, 70033, 11480, 0, 1, 126591, 58734, [200-400), [0-333333), 188.59879, 4167.792, 199167.22, 2182.2344, 25853.668,NaN, 225209.48,NaN,null, false,null
\arity\program-110-small.res,[1-5], 2.8425925925925926, 5.0, 1.0, 0, 41, 257940, 1783391, 475390, 10800000, 307, 4046, 108.0, 951625, 549, 0, 1, 85328, 297020, [5-200), [666666-999999), 97.61924, 27811.895, 18504.977, 16505.932, 5773.645,NaN, 24376.24,NaN,null, false, 68997.95
\arity\program-176-small.res,[1-5], 3.070336391437309, 5.0, 1.0, 0, 6381, 208544, 77143, 10164, 32700000, 1004, 10930, 327.0, 20420, 1864, 0, 1, 19336, 11780, [200-400), [0-333333), 30.24704, 2523.0547, 460.0321, 594.1856, 14574.664,NaN, 15064.943,NaN,null, false, 18256.193
\arity\program-444-small.res,[1-5], 2.965936739659367, 5.0, 1.0, 0, 152, 2940625, 2370572, 363780, 41100000, 1219, 15513, 411.0, 728049, 2206, 0, 1, 514405, 373330, [400-600], [666666-999999), 160.60747, 54631.848, 13138.672, 13307.661, 17975.729,NaN, 31275.008,NaN,null, false, 99793.83
\rules\program-106-small.res,[1-5], 3.1153846153846154, 5.0, 1.0, 0, 25, 72815, 1443461, 435420, 5200000, 162, 2301, 52.0, 869383, 306, 0, 1, 25110, 259400, [5-200), [666666-999999), 85.32109, 15466.935, 18727.455, 16142.278, 3087.4634,NaN, 21900.238,NaN,null, false, 53752.15
\arity\program-145-small.res,[1-5], 3.0387096774193547, 5.0, 1.0, 0, 75, 606675, 2308147, 454557, 15500000, 471, 6946, 155.0, 906494, 899, 0, 1, 202255, 380469, [5-200), [666666-999999), 109.018684, 41663.77, 20378.58, 16494.168, 7983.6113,NaN, 28471.21,NaN,null, false, 86987.02
\rules\program-164-small.res,[1-10], 5.0576923076923075, 10.0, 1.0, 0, 115480, 188293, 421811, 55491, 5200000, 263, 122458, 52.0, 111162, 1734, 0, 1, 60282, 68067, [5-200), [0-333333), 163.10434, 7729.183, 294226.22, 3079.3508, 4288.6177,NaN, 298677.94,NaN,null, false, 309635.9
\arity\program-109-small.res,[1-5], 2.9054054054054053, 5.0, 1.0, 0, 1, 504727, 2016637, 433581, 14800000, 430, 5270, 148.0, 868194, 770, 0, 1, 166382, 330250, [5-200), [666666-999999), 96.2136, 33740.996, 17880.604, 15629.334, 6905.954,NaN, 24882.77,NaN,null, false,null
